stress_pa,cracking_strain
2549810,0
2298090,6.0699999999999998e-05
1953800,9.2499999999999999e-05
1664600,0.000122719
1439880,0.00015096900000000001
1266170,0.000177696
1129990,0.000203303
1021220,0.00022809100000000001
932712,0.00025227499999999999
859455,0.000276004
797892,0.00029938300000000002
745456,0.00032248900000000002
700266,0.00034537899999999999
660913,0.00036809400000000002
626327,0.00039066699999999998
595681,0.00041312100000000002
568330,0.00043547699999999998
543759,0.00045774900000000002
521557,0.00047994999999999998
501388,0.00050208999999999996
482979,0.00052417700000000002
466102,0.00054621800000000001
450568,0.000568218
436219,0.00059018299999999998
422918,0.00061211600000000001
410552,0.00063402
399021,0.00065589900000000004
388241,0.00067775599999999995
378138,0.00069959099999999995
368647,0.00072140799999999999
359712,0.00074320799999999998
351284,0.00076499200000000004
343319,0.00078676199999999999
335778,0.00080851899999999995
328627,0.00083026300000000003
321834,0.00085199699999999995
315373,0.00087372000000000003
309219,0.00089543399999999997
303348,0.00091713799999999996
297742,0.00093883499999999995
292382,0.00096052300000000002
287250,0.00098220399999999998
282333,0.00100388
277616,0.0010255500000000001
273087,0.00104721
268734,0.00106887
264546,0.00109052
260514,0.0011121600000000001
256629,0.0011337999999999999
252883,0.00115544
249267,0.0011770699999999999
245775,0.0011987
242401,0.00122032
239137,0.00124194
235979,0.0012635599999999999
232921,0.00128517
