damage_t,cracking_strain
0,0
0.27179500000000001,6.0728399999999999e-05
0.378359,9.2545600000000004e-05
0.46326299999999998,0.000122719
0.52935399999999999,0.00015096900000000001
0.58130199999999999,0.000177696
0.62286399999999997,0.000203303
0.65673599999999999,0.00022809100000000001
0.68481599999999998,0.00025227499999999999
0.70845000000000002,0.000276004
0.72860999999999998,0.00029938300000000002
0.746008,0.00032248900000000002
0.76117500000000005,0.00034537899999999999
0.77451899999999996,0.00036809400000000002
0.78635100000000002,0.00039066699999999998
0.79691800000000002,0.00041312100000000002
0.80641499999999999,0.00043547699999999998
0.814998,0.00045774900000000002
0.82279599999999997,0.00047994999999999998
0.82991400000000004,0.00050208999999999996
0.83643699999999999,0.00052417700000000002
0.84243999999999997,0.00054621800000000001
0.84798200000000001,0.000568218
0.85311700000000001,0.00059018299999999998
0.85788799999999998,0.00061211600000000001
0.86233400000000004,0.00063402
0.86648800000000004,0.00065589900000000004
0.87037699999999996,0.00067775599999999995
0.874027,0.00069959099999999995
0.87746000000000002,0.00072140799999999999
0.88069500000000001,0.00074320799999999998
0.88375000000000004,0.00076499200000000004
0.88663800000000004,0.00078676199999999999
0.889374,0.00080851899999999995
0.89197000000000004,0.00083026300000000003
0.89443700000000004,0.00085199699999999995
0.89678400000000003,0.00087372000000000003
0.89901900000000001,0.00089543399999999997
0.90115199999999995,0.00091713799999999996
0.90318799999999999,0.00093883499999999995
0.90513500000000002,0.00096052300000000002
0.90699799999999997,0.00098220399999999998
0.90878300000000001,0.00100388
0.91049500000000005,0.0010255500000000001
0.912138,0.00104721
0.913717,0.00106887
0.91523500000000002,0.00109052
0.91669599999999996,0.0011121600000000001
0.91810199999999997,0.0011337999999999999
0.919458,0.00115544
0.92076599999999997,0.0011770699999999999
0.92202799999999996,0.0011987
0.92324700000000004,0.00122032
0.92442500000000005,0.00124194
0.92556400000000005,0.0012635599999999999
0.92666700000000002,0.00128517
