stress_pa,inelastic_strain
8597100,0
12174200,4.6799999999999999e-05
15094900,9.98e-05
17350400,0.000174673
18995600,0.00026964900000000001
20118100,0.00038182299999999999
20814500,0.00050800800000000001
21176700,0.00064518300000000002
21284100,0.00079072400000000003
21128900,0.00094489499999999996
20721000,0.0011073700000000001
20143900,0.0012753899999999999
19462900,0.0014468199999999999
18726700,0.0016200399999999999
17969700,0.0017939200000000001
17215200,0.0019677000000000002
16478800,0.0021408600000000001
15769800,0.0023130899999999999
15093700,0.00248423
14453000,0.00265416
13848700,0.0028228900000000002
13280100,0.0029904100000000002
12746200,0.0031567600000000002
12245300,0.0033220099999999998
11775600,0.00348621
11335000,0.0036494299999999999
10921600,0.0038117300000000002
10533500,0.0039731699999999998
10168900,0.0041338199999999999
9503210,0.0044529599999999997
8912140,0.00476955
8385030,0.0050839400000000003
7912900,0.0053964399999999997
7488180,0.0057072900000000003
7104500,0.0060166899999999999
6756520,0.00632484
6439710,0.0066318599999999998
6150240,0.0069379000000000003
5884860,0.0072430599999999999
5640780,0.0075474299999999999
5415630,0.0078510899999999998
5207360,0.0081540999999999992
5014170,0.0084565300000000003
4834550,0.0087584299999999993
4667130,0.0090598299999999996
4510740,0.0093607800000000008
4364360,0.0096613199999999993
4227060,0.00996147
4098050,0.010261299999999999
3976610,0.010560699999999999
3862110,0.0108599
3753960,0.011158700000000001
3651680,0.0114573
3554790,0.0117556
3462900,0.012053599999999999
