damage_c,inelastic_strain
0,0
0.053658999999999998,4.6765299999999998e-05
0.087383000000000002,9.97754e-05
0.124836,0.000174673
0.16403599999999999,0.00026964900000000001
0.20347999999999999,0.00038182299999999999
0.24210799999999999,0.00050800800000000001
0.27923700000000001,0.00064518300000000002
0.31446600000000002,0.00079072400000000003
0.34873199999999999,0.00094489499999999996
0.38248399999999999,0.0011073700000000001
0.41500900000000002,0.0012753899999999999
0.44587700000000002,0.0014468199999999999
0.47487000000000001,0.0016200399999999999
0.50190999999999997,0.0017939200000000001
0.52701600000000004,0.0019677000000000002
0.550265,0.0021408600000000001
0.57176400000000005,0.0023130899999999999
0.591638,0.00248423
0.61001399999999995,0.00265416
0.62701799999999996,0.0028228900000000002
0.64276900000000003,0.0029904100000000002
0.65737999999999996,0.0031567600000000002
0.67095199999999999,0.0033220099999999998
0.68357999999999997,0.00348621
0.69534799999999997,0.0036494299999999999
0.70633199999999996,0.0038117300000000002
0.71660199999999996,0.0039731699999999998
0.72622100000000001,0.0041338199999999999
0.74371900000000002,0.0044529599999999997
0.75920900000000002,0.00476955
0.77300199999999997,0.0050839400000000003
0.78535100000000002,0.0053964399999999997
0.79646300000000003,0.0057072900000000003
0.80650900000000003,0.0060166899999999999
0.81563200000000002,0.00632484
0.82394999999999996,0.0066318599999999998
0.83156200000000002,0.0069379000000000003
0.83855299999999999,0.0072430599999999999
0.84499400000000002,0.0075474299999999999
0.85094700000000001,0.0078510899999999998
0.85646500000000003,0.0081540999999999992
0.86159200000000002,0.0084565300000000003
0.86636800000000003,0.0087584299999999993
0.87082800000000005,0.0090598299999999996
0.87500100000000003,0.0093607800000000008
0.87891399999999997,0.0096613199999999993
0.88259100000000001,0.00996147
0.88605100000000003,0.010261299999999999
0.88931400000000005,0.010560699999999999
0.89239599999999997,0.0108599
0.89531000000000005,0.011158700000000001
0.89807099999999995,0.0114573
0.90068999999999999,0.0117556
0.90317800000000004,0.012053599999999999
